user_id,household_type,occupants,region,grid_region,timezone,home_sqft,appliances_owned,shiftable_appliances,appliance_avg_kwh_per_use,typical_usage_windows,flexibility_score,carbon_priority_weight,cost_priority_weight,avg_monthly_kwh,notification_method,email_address
user_030,student_apartment,3,London_UK,GB,Europe/London,601,"washing_machine,hvac,water_heater","washing_machine,water_heater",washing_machine:1.07;hvac:4.51;water_heater:3.74,washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.4,0.31,0.69,221.3,email,user_030@example.com
user_031,student_apartment,4,London_UK,GB,Europe/London,457,"washing_machine,hvac",washing_machine,washing_machine:1.27;hvac:6.89,washing_machine:08:00-10:00;hvac:00:00-23:59,0.45,0.37,0.63,212.4,app,user_031@example.com
user_032,single_professional,2,London_UK,GB,Europe/London,950,"ev_charger,dishwasher,washing_machine,hvac","ev_charger,dishwasher,washing_machine",ev_charger:30.07;dishwasher:1.15;washing_machine:0.85;hvac:7.54,ev_charger:22:00-06:00;dishwasher:19:00-21:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.42,0.77,0.23,1106.1,email,user_032@example.com
user_033,retired_couple,2,London_UK,GB,Europe/London,1532,"dishwasher,dryer,washing_machine,hvac","dishwasher,dryer,washing_machine",dishwasher:1.04;dryer:2.33;washing_machine:0.85;hvac:7.19,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.76,0.46,0.54,379.4,app,user_033@example.com
user_034,single_professional,0,Austin_TX,ERCOT,America/Chicago,817,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:0.94;dryer:2.35;washing_machine:1.1;hvac:5.09;water_heater:4.24,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.65,0.62,0.38,318.8,email,user_034@example.com
user_035,single_professional,1,Austin_TX,ERCOT,America/Chicago,916,"dishwasher,washing_machine,hvac,water_heater","dishwasher,washing_machine,water_heater",dishwasher:1.64;washing_machine:1.17;hvac:4.47;water_heater:3.64,dishwasher:19:00-21:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.38,0.05,0.95,263.3,email,user_035@example.com
user_036,family_of_4,3,London_UK,GB,Europe/London,2049,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.03;dryer:3.34;washing_machine:0.72;hvac:3.52;water_heater:3.9,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.34,0.15,0.85,436.0,app,user_036@example.com
user_037,family_of_4,4,Austin_TX,ERCOT,America/Chicago,2955,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.44;dryer:3.41;washing_machine:1.43;hvac:6.12;water_heater:2.51,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.52,0.48,0.52,544.8,app,user_037@example.com
user_038,student_apartment,3,Austin_TX,ERCOT,America/Chicago,455,"washing_machine,hvac,water_heater","washing_machine,water_heater",washing_machine:1.13;hvac:6.17;water_heater:2.27,washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.54,0.26,0.74,262.6,app,user_038@example.com
user_039,student_apartment,4,Austin_TX,ERCOT,America/Chicago,708,"washing_machine,hvac,water_heater","washing_machine,water_heater",washing_machine:1.16;hvac:7.19;water_heater:2.71,washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.43,0.28,0.72,342.1,app,user_039@example.com
user_040,student_apartment,3,Austin_TX,ERCOT,America/Chicago,420,"hvac,water_heater",water_heater,hvac:4.31;water_heater:3.29,hvac:00:00-23:59;water_heater:06:00-08:00,0.73,0.54,0.46,224.1,app,user_040@example.com
user_041,retired_couple,1,Austin_TX,ERCOT,America/Chicago,1286,"ev_charger,dishwasher,dryer,hvac,water_heater","ev_charger,dishwasher,dryer,water_heater",ev_charger:52.3;dishwasher:1.76;dryer:3.58;hvac:6.45;water_heater:3.06,ev_charger:22:00-06:00;dishwasher:19:00-21:00;dryer:09:00-11:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.84,0.61,0.39,1828.7,app,user_041@example.com
user_042,family_of_2_no_kids,3,Austin_TX,ERCOT,America/Chicago,1755,"dryer,washing_machine,water_heater","dryer,washing_machine,water_heater",dryer:2.59;washing_machine:1.44;water_heater:4.41,dryer:09:00-11:00;washing_machine:08:00-10:00;water_heater:06:00-08:00,0.67,0.35,0.65,289.3,app,user_042@example.com
user_043,single_professional,1,London_UK,GB,Europe/London,877,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.54;dryer:3.04;washing_machine:1.04;hvac:7.38;water_heater:2.75,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.48,0.27,0.73,392.9,app,user_043@example.com
user_044,single_professional,2,Austin_TX,ERCOT,America/Chicago,1007,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:0.84;dryer:2.04;washing_machine:1.49;hvac:5.14;water_heater:2.65,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.7,0.18,0.82,404.0,app,user_044@example.com
user_045,student_apartment,2,Austin_TX,ERCOT,America/Chicago,638,"dishwasher,dryer,washing_machine,hvac","dishwasher,dryer,washing_machine",dishwasher:1.6;dryer:3.26;washing_machine:0.87;hvac:5.59,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.1,0.5,0.5,304.4,app,user_045@example.com
user_046,retired_couple,1,Austin_TX,ERCOT,America/Chicago,1750,"dishwasher,washing_machine,hvac","dishwasher,washing_machine",dishwasher:1.66;washing_machine:1.35;hvac:6.28,dishwasher:19:00-21:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.62,0.23,0.77,263.3,app,user_046@example.com
user_047,family_of_2_no_kids,3,London_UK,GB,Europe/London,1694,"ev_charger,dryer,hvac","ev_charger,dryer",ev_charger:54.58;dryer:3.47;hvac:5.61,ev_charger:22:00-06:00;dryer:09:00-11:00;hvac:00:00-23:59,0.4,0.72,0.28,1408.3,app,user_047@example.com
user_048,family_of_4,4,London_UK,GB,Europe/London,2201,"dishwasher,dryer,washing_machine,hvac","dishwasher,dryer,washing_machine",dishwasher:1.62;dryer:3.66;washing_machine:1.11;hvac:3.03,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59,0.48,0.44,0.56,349.9,app,user_048@example.com
user_049,family_of_4,4,Austin_TX,ERCOT,America/Chicago,1881,"dishwasher,dryer,washing_machine,hvac,water_heater","dishwasher,dryer,washing_machine,water_heater",dishwasher:1.75;dryer:2.33;washing_machine:1.32;hvac:6.54;water_heater:2.92,dishwasher:19:00-21:00;dryer:09:00-11:00;washing_machine:08:00-10:00;hvac:00:00-23:59;water_heater:06:00-08:00,0.75,0.48,0.52,427.7,email,user_049@example.com
